日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,名称
2024-05-28,600941,97.82,97.57,98.37,97.33,70583,705517443.0,1.06,-0.59,-0.58,0.93,中国移动
2024-05-29,600941,97.62,97.62,97.82,96.86,66605,663020565.0,0.98,0.05,0.05,0.88,中国移动
2024-05-30,600941,97.42,98.18,98.67,97.22,105832,1062821864.0,1.49,0.57,0.56,1.4,中国移动
2024-05-31,600941,98.37,98.02,98.67,97.38,84412,844431233.0,1.31,-0.16,-0.16,1.11,中国移动
2024-06-03,600941,98.03,99.71,99.96,98.03,137168,1392431004.0,1.97,1.72,1.69,1.81,中国移动
2024-06-04,600941,99.62,99.92,100.17,99.31,115881,1181956677.0,0.86,0.21,0.21,1.53,中国移动
2024-06-05,600941,99.89,99.5,100.82,98.92,129972,1325792506.0,1.9,-0.42,-0.42,1.71,中国移动
2024-06-06,600941,99.99,100.52,102.01,99.31,136657,1378167440.0,2.71,1.03,1.02,1.8,中国移动
2024-06-07,600941,100.45,101.0,101.36,100.1,84780,856400156.0,1.25,0.48,0.48,1.12,中国移动
2024-06-11,600941,101.2,100.58,101.78,99.51,83780,842455306.0,2.25,-0.42,-0.42,1.1,中国移动
2024-06-12,600941,100.31,100.4,100.61,99.61,75160,751824929.0,0.99,-0.18,-0.18,0.99,中国移动
2024-06-13,600941,100.25,101.31,101.41,99.64,95836,964891008.0,1.76,0.91,0.91,1.26,中国移动
2024-06-14,600941,101.05,100.98,101.79,99.63,124899,1259974563.0,2.13,-0.33,-0.33,1.65,中国移动
2024-06-17,600941,100.4,98.9,100.69,98.83,123498,1229370777.0,1.84,-2.06,-2.08,1.63,中国移动
2024-06-18,600941,98.86,99.96,100.11,98.18,129080,1279964823.0,1.95,1.07,1.06,1.7,中国移动
2024-06-19,600941,100.0,101.44,101.5,99.94,116217,1175154885.0,1.56,1.48,1.48,1.53,中国移动
2024-06-20,600941,101.44,101.5,101.78,100.9,79784,808687721.0,0.87,0.06,0.06,1.05,中国移动
2024-06-21,600941,101.35,102.55,102.98,101.13,96950,992169002.0,1.82,1.03,1.05,1.28,中国移动
2024-06-24,600941,102.55,102.5,103.33,102.0,95226,979174096.0,1.3,-0.05,-0.05,1.26,中国移动
2024-06-25,600941,102.32,102.4,102.82,101.54,84779,866759448.0,1.25,-0.1,-0.1,1.12,中国移动
2024-06-26,600941,102.1,102.66,103.3,101.6,64887,665259019.0,1.66,0.25,0.26,0.86,中国移动
2024-06-27,600941,102.66,104.79,105.0,102.32,151554,1580098337.0,2.61,2.07,2.13,2.0,中国移动
2024-06-28,600941,104.35,107.5,107.75,104.3,150663,1598694155.0,3.29,2.59,2.71,1.99,中国移动
2024-05-28,601398,5.48,5.49,5.51,5.46,1957240,1074148916.0,0.91,0.18,0.01,0.07,工商银行
2024-05-29,601398,5.49,5.47,5.51,5.45,2277199,1247889692.0,1.09,-0.36,-0.02,0.08,工商银行
2024-05-30,601398,5.47,5.44,5.48,5.42,2239851,1219754897.0,1.1,-0.55,-0.03,0.08,工商银行
2024-05-31,601398,5.45,5.43,5.47,5.43,2037423,1110323552.0,0.74,-0.18,-0.01,0.08,工商银行
2024-06-03,601398,5.43,5.44,5.45,5.41,2157727,1171716314.0,0.74,0.18,0.01,0.08,工商银行
2024-06-04,601398,5.44,5.47,5.47,5.44,1756288,958146651.0,0.55,0.55,0.03,0.07,工商银行
