id,歌曲名,专辑,时间,作者
2158973221,若月亮没来 (Live版),天赐的声音第五季 第5期,4:11,杨宗纬/宝石Gem/王宇宙Leto
2124385868,如果爱忘了 (live),声生不息·家年华 第12期,4:5,汪苏泷/单依纯
1827600686,还是会想你,还是会想你,3:10,林达浪/h3R3
2110700883,冬眠,冬眠·2023,3:11,阿YueYue/刘兆宇
1890530891,如果可以,如果可以,4:34,韦礼安
1403318151,把回忆拼好给你,把回忆拼好给你,6:21,王贰浪
2164852326,GoneBad(PHONK),GoneBad,2:21,GTR7
2061978961,离别开出花,离别开出花,3:50,就是南方凯
2119795491,若月亮没来 (若是月亮还没来),若月亮没来（若是月亮还没来）,2:53,王宇宙Leto/乔浚丞
2163953992,是想你的声音啊2024,是想你的声音啊（说唱版）,3:11,制造热搜/果妹/傲七爷/Aioz
1895330088,予你,予你,3:51,队长
2149816863,如果可以 (Live版),天赐的声音第五季 第1期,4:52,汪苏泷/徐佳莹
1903149553,无名的人,无名的人,4:42,毛不易
1397345903,悬溺,第二街区,3:17,葛东琪
2600804126,云边的风筝,云边的风筝,4:22,周深
26092806,Take Me Hand,WONDER Tourism,4:19,DAISHI DANCE/Cécile Corbel
1456890009,罗生门（Follow）,罗生门（Follow）,4:3,梨冻紧/Wiz_H张子豪
233921,你在 不在,爱异想,4:23,郭采洁
2071935674,我想念,我想念,3:44,汪苏泷
2100671888,放纵,放纵,3:27,怪阿姨
28892418,原来,青春派 电影原声带,3:53,南征北战NZBZ
2124731026,5:20AM,5:20AM,2:41,刀酱
1974443814,我记得,署前街少年,5:29,赵雷
1887139866,指纹,指纹,4:0,杜宣达
1398283847,我只能离开,初恋那件小事 电视剧原声带,3:50,颜人中
2151853884,我会好好的 (Live版),天赐的声音第五季 第2期,4:44,杨宗纬/姚晓棠
1851652156,忘不掉的你,忘不掉的你,2:52,h3R3
1959528822,紫荆花盛开,紫荆花盛开,3:30,李荣浩/梁咏琪
3956911,Duvet,Twilight,3:23,Bôa
436346833,凄美地,飞行器的执行周期,4:10,郭顶
2161527760,不如回家喝自来水 (Live版),天赐的声音第五季 第6期,3:21,陈楚生/王赫野
2072639869,在加纳共和国离婚 (你还爱我吗),在加纳共和国离婚,4:20,菲道尔/Dior大颖
1842728629,如果呢,如果呢,4:17,郑润泽
1927693793,再等冬天(Memories),故事商铺·上,2:48,h3R3
2034187125,沉溺（你让我的心不再结冰）,沉溺（你让我的心不再结冰）,3:13,邹沛沛/Pank
1951069525,精卫,丧失年轻，勿失年华,2:56,30年前，50年后
1482867143,夏夜最后的烟火,夏夜最后的烟火,4:39,颜人中
2124381474,小美满,小美满,3:34,周深
2154102353,在加纳共和国离婚 (Live版),天赐的声音第五季 第3期,4:33,杨坤/张碧晨
1349292048,心如止水,成语接龙,3:5,Ice Paper
2602320199,泪桥,泪桥,3:46,Tr1p1e1
2151849447,命运 (Live版),天赐的声音第五季 第2期,4:18,汪苏泷/张碧晨
417859631,我好像在哪见过你,初学者,4:39,薛之谦
2166118123,妥协 (Live版),天赐的声音第五季 第8期,4:10,张含韵/姚晓棠
488249475,哪里都是你,哪里都是你,3:42,队长
1330348068,起风了,起风了,5:25,买辣椒也用券
1922888354,苦茶子,埋汰,2:50,Starling8/MoreLearn 27/FIVESTAR
475479888,在你的身边,在你的身边,4:22,盛哲
1413585838,与我无关,与我无关,4:0,阿冗
2133568636,Fast Cars & Superstars (Extended),Fast Cars & Superstars,2:52,Cristian Marchi/Reverend Haus
2049512697,向云端,向云端,4:11,小霞/海洋Bo
1807799505,唯一,运气来得若有似无,4:30,告五人
2144209098,如果可以,如果可以,3:56,杜宣达
2163982959,异客 (Live版),天赐的声音第五季 第7期,3:47,杨坤/王睿卓/王赫野
1918576268,红,When the world is came，take it！,2:41,罗言
2062623445,想你时风起,我的人间烟火 电视剧原声带,4:36,单依纯
1815725297,Dehors,Dehors,3:15,JORDANN
70713,Love U 2,WOW,3:40,陈伟霆
2149816926,最后一页 (Live版),天赐的声音第五季 第1期,4:40,王赫野/姚晓棠
30612793,多远都要在一起,新的心跳,3:36,G.E.M.邓紫棋
2600763192,耙耙爱情故事2024,耙耙爱情故事2024,2:59,阿拉梅
441491828,水星记,飞行器的执行周期,5:25,郭顶
65739,Everywhere We Go,三角度,4:19,陈冠希/MC仁/厨房仔/应采儿
2108827013,无名的人 (live),声生不息·家年华 第3期,5:20,孙楠/陈楚生
2019573476,达尔文,"JJ的咖啡调调, Vol. 2",4:6,林俊杰
2041026502,愿与愁,愿与愁,3:51,林俊杰
2151605096,Happy (Prod. Hedyy),Happy,2:31,차노을
2041799838,普通人生,普通人生,3:22,海洋Bo
1867217766,致你,致你,4:31,yihuik苡慧
1303027499,总有一天你会出现在我身边,一次有预谋的初次相遇,4:30,棱镜乐队
28403111,特别的人,危险世界,4:19,方大同
1497588709,给你呀（又名：for ya）,for ya,2:33,蒋小呢
209586,妥协,花蝴蝶,4:24,蔡依林
1463165983,天外来物,天外来物,4:17,薛之谦
1405283464,句号,摩天动物园,3:55,G.E.M.邓紫棋
2149612361,爱你,爱你,2:10,Dave
2599542235,网恋,网恋,3:12,Six Teen/果妹
1908049566,算了吧,算了吧,3:6,Aioz/刘思达LOFTHESTAR/张天枢
1359356908,晚安,晚安,4:49,颜人中
421423808,虚拟,小梦大半,4:0,陈粒
2100329027,冷战,做旧,3:43,TizzyT/Vinida (万妮达)
1368754688,爱人错过,我肯定在几百年前就说过爱你,4:52,告五人
2095242387,不属于地球上的,不属于地球上的,2:37,江楠江楠_
208902,红色高跟鞋,若你碰到他,3:26,蔡健雅
1492584510,沉沦与遐想,沉沦与遐想,2:33,C.HØPE
208891,Letting Go,说到爱,4:23,蔡健雅
2139303880,天下的乌鸦一般黑,天下的乌鸦一般黑,2:40,小炎同学
1808235517,i walk this earth all by myself,i walk this earth all by myself,2:25,EKKSTACY
1441758494,晚风,晚风,3:22,7opy/BT07
2086327879,鲜花,鲜花,5:41,回春丹
