id,歌曲名,专辑,时间,作者
2599870526,罪（feat.旺仔小乔）,罪（feat.旺仔小乔）,3:42,江辰/旺仔小乔
2165457999,遗忘周,漩涡人生,4:30,郑润泽
2600227713,Rebirth from the fire,Rebirth from the fire,3:12,吴垚滔
2601116164,单程车,单程车,2:36,三火flame
2600804126,云边的风筝,云边的风筝,4:22,周深
2600846196,好了妈妈,好了妈妈,2:40,布莱森/07Kevin/哈米波波
2600762460,青鸟,青鸟,3:12,等一下就回家/Lorkin
2601727637,夏日离别练习,夏日离别练习,4:5,蒲熠星
2599500825,克莱尔,转子心,6:6,花墙FancyWall
2600209210,谎言,谎言,4:14,Fine乐团
2601996942,不问苍生,不问苍生,3:54,世界之外
2599909573,边境,旧城天使,2:51,愚月FoolMoon/鱼翅Fin
2600763112,巡游,VTTT,3:5,鹭卓
2600843376,骗你是小狗,骗你是小狗,2:45,李昊
2163904062,惯老板,惯老板,4:52,J. Sheon/瘦子E.SO
2601067988,Beautifully Deranged,We All Wear Masks,4:2,Nova Heart
2601164488,小恶魔,小恶魔,2:31,谢子通/直火帮 Straight Fire Gang
2600843328,新情绪,新情绪,3:32,王子明/杨豪
2600942879,Falling Tide(落潮）,Falling Tide(落潮）,2:24,Bo Peep
2600813900,DYNASTY王朝模式,中等生,3:57,李毅杰PISSY
2600334805,爱的坟墓,农度,2:36,Ash-1/河南说唱之神
2600223535,CHINA-溯,CHINA-溯,3:31,徐梦圆
2602024546,屡爱屡败,屡爱屡败,3:37,六月/听潮阁
2599542235,网恋,网恋,3:12,Six Teen/果妹
2158987669,RNB歌手就是这个b样,RNB歌手就是这个b样,2:59,李晨曦Chrisulous/加木
2116792369,荒屿,荒屿,3:51,余佳运
2600831089,搞笑难得爱2.0,搞笑难得爱2.0,3:36,艾里克/梅克/李棒棒Muti
2163646817,威士忌酸,威士忌酸,2:16,DouDou/ChaplinY
2599507484,怎样不想你,怎样不想你,3:12,贰万ovo/听潮阁
2599765823,被我弄丢的你,被我弄丢的你,3:25,崔十八/赵太阳/听潮阁
2601594794,无一幸免,无一幸免,3:35,高旭
2600856374,世界主角,世界主角,3:2,李小眼
2601154683,云笼罩着村落,云笼罩着村落,3:52,马赫mood/杜逸风 Firewind SoKu
2164852326,GoneBad(PHONK),GoneBad,2:21,GTR7
2600532078,重生之人生若只如初见,重生之人生若只如初见,2:40,卦者灵风
2600803152,童话,ECHO,2:46,卓沅
2600218510,霞,霞,2:24,TC
2601169894,1+1=？,1+1=？,3:15,Buzzy
2600152571,不必以后,不必以后,2:58,杜宣达
2165458005,漩涡人生,漩涡人生,4:20,郑润泽
2601604442,理想国宣言,理想国宣言,6:32,叶轩池
2601605147,记忆U盘,记忆U盘,2:52,Lonn.E
2164313909,我们不给草,二七二期,3:32,DANNY K/鼠尾草
2601955687,2438,2438,4:10,Vyan/张宇灵Zelf
2600537445,打工,打工,2:52,大拖鞋
2165457972,五公里的雾,漩涡人生,4:21,郑润泽/Dobi
2601040718,广顺猛虎 (Live),新说唱2024 第八期 (上),3:9,辉子
2601632130,降温,BOOM BAP MODELZ VOL.II-SWITCH,3:35,V.O.B/Rapeter
2601986423,五虎争锋,五虎争锋,3:22,北京老虎队PekingTigers/黄硕N-Bomb/刘悦spam-生番/Saber梁维嘉/秃子2z/金剑GOLDENSWORD
2599922274,晚点晚点,旧城天使,3:25,愚月FoolMoon
2166788095,玛利亚,理想国,3:18,杨和苏KeyNG
2600626484,everyday,everyday,2:53,D.S
2601901362,非标准答案,非标准答案,2:26,Crazy C
2599518003,留在兰州,留在兰州,3:1,7up
2165458872,想浪漫点,漩涡人生,4:49,郑润泽
2600823806,Head Nod,Head Nod,3:20,小青龙
2600812369,假装,假装,2:55,辉辉
2601632074,BANG BANG,BOOM BAP MODELZ VOL.II-SWITCH,2:53,V.O.B/Melo
2600843487,回到十七岁,回到十七岁,2:45,Sasuke/冯显硕/果芳竹GigiRabby
2601421356,雨天留声,雨天留声,2:39,梶
2601042791,挣钱上三亚 (Live),新说唱2024 第八期 (下),3:22,艾里克/梅克
2601689336,掐灭手中的烟，你在微笑中哽咽,掐灭手中的烟，你在微笑中哽咽,2:17,nanshan407/蓝耐特
2600513153,围,围,3:53,杨昇锡/YEHAIYAHAN
2600594989,行香子,白云无尽时,2:39,燕池
2599556194,她的游戏,九粒种子,4:27,理想后花园
2165738471,跨越想念,跨越想念,3:2,很美味
2165458833,光影,漩涡人生,2:49,郑润泽
2601899291,十年南京,十年南京,3:28,何松
2600812455,不关心,歇斯底里,2:22,杭异凡/河北吴孟达/卡力老虎
2600812367,Squander,Squander,7:13,黄雨篱
2602005170,致十八岁的自己,致十八岁的自己,2:9,Lil Meet
2600543381,一定过,一定过,3:36,梁笑生AIRBUS130/梦徐/Ranzer
2600803697,西湖,歇斯底里,2:26,杭异凡/Udiggwhatiamsayin
2165458867,森林,漩涡人生,3:17,郑润泽
2163654297,第一次,第一次,4:26,马泽龙
2600557427,来么,来么,1:58,Claymore克蕾默
2600218872,半浮生,半浮生,3:14,张希
2601976736,独你盛开,独你盛开,3:9,要不要买菜
2166401419,Gravity Pull Us Closer,Gravity Pull Us Closer,2:38,Timirage
2599811744,小满,小满,4:34,曲肖冰
2600211753,Get On Way,GET ON WAY,6:10,卡玛寇玛 KARMA·COMA
2601613351,过家家（RPG）,过家家（RPG）,3:31,门尼
2600431824,Waiting For U,Waiting For U,3:37,Lean4Night
2600443075,灼热宫殿,灼热宫殿,2:51,饭卡
2599650345,Hecate 赫卡忒,Hecate 赫卡忒,2:44,Di2e/Ventx
2166486002,野风筝,林童,4:12,功夫胖KungFuPen
2600155771,壁炉旁的老人（Mizpah）,壁炉旁的老人（Mizpah）,2:30,JiiInz缪锦泽
2600177723,我没了主意,我没了主意,1:50,YOUNG&DUMB甜又丧乐队
2600807588,TOU,TOU,2:1,Yaniuss/麻伊
2599844796,我 Leave me,欧涅罗伊 Onirii,2:40,RockyT/AKR
2601920537,心动（crush on you）,关于爱（about love）,2:36,JuggShots/Windapaper_RADI8
2600270953,多余的角色,多余的角色,3:6,WhyAce
2165843505,鱼儿游,富贵山,2:57,Max马俊/Maxson马颢睿/王梓力
2601202560,俾昼作夜,俾昼作夜,3:40,乌厌
2600855964,你是风 留不住,你是风 留不住,3:16,无面小生
2166087862,河,河,4:56,何浩楠
2599795531,归真 Back To Real,Abysm abyss gulf pit Ⅳ,3:21,Lean4Night
2600857799,脱敏效应,脱敏效应,2:55,暴躁的兔子
2601601810,起灭斋,起灭斋,3:20,守誓剑乐队
2163617296,消遣,Life After Small Town,2:59,艾志恒Asen/mac ova seas
