id,歌曲名,专辑,时间,作者
2602631855,将芯比心,将芯比心,3:40,许嵩
2600493765,恋人,恋人,4:35,李荣浩
2601180814,Where to go,Love Me Later,3:11,王以太/艾热 AIR
2151605096,Happy (Prod. Hedyy),Happy,2:31,차노을
2601180813,眼前的歌,Love Me Later,3:22,王以太
2602320199,泪桥,泪桥,3:46,Tr1p1e1
2601178811,燕南飞,Love Me Later,3:8,王以太/PJ Morton
2601180809,Time To Be A Man,Love Me Later,3:4,王以太
2164852326,GoneBad(PHONK),GoneBad,2:21,GTR7
2601180810,Wake Up,Love Me Later,3:31,王以太
2601180812,Do It Like This,Love Me Later,4:2,王以太/马思唯
2158981686,一定有人爱着你,一定有人爱着你,4:42,胡夏
2602339640,华仔,华仔,2:56,王齐铭WatchMe/盛宇D-SHINE
2601622269,我会好好的,我会好好的,3:44,en
2158165155,现在这样就好,今はいいんだよfeat.アカラカイ,2:32,MIMI/アカラ カイ
2602329575,主动 (live),说唱梦工厂 第6期,3:5,加木
1808235517,i walk this earth all by myself,i walk this earth all by myself,2:25,EKKSTACY
2600060888,Rockstar,Rockstar,2:18,LISA
2093433056,Ethereal,Ethereal,2:48,txmy
2100671888,放纵,放纵,3:27,怪阿姨
70713,Love U 2,WOW,3:40,陈伟霆
508671230,Peeping Tom (Original Mix),Peeping Tom,3:30,Jamie Berry/Rosie Harte
2042801449,We Live Here,Past Lives (Original Motion Picture Soundtrack),1:38,Christopher Bear/Daniel Rossen
2601604419,GRAD SONG,GRAD SONG,3:12,艾志恒Asen/7rouble/火人
2602717269,唐·苏轼,唐·苏轼,2:21,Bsh-1
440208476,That Girl,24 HRS (Deluxe),2:56,Olly Murs
1492864083,DAY1,DAY1,2:54,艾志恒Asen
2601985829,魔女 (Tokyo Remix),绯闻 (Tokyo Remix),3:24,沈以诚
2600804126,云边的风筝,云边的风筝,4:22,周深
1413071749,代替,881原著電影原聲帶 (Original motion picture soundtrack),3:55,林倛玉
2602339632,回忆总是慢动作,回忆总是慢动作,1:39,磨尖的粉笔
2602713531,很远的地方 (国语版),很远的地方,5:4,张学友
26092806,Take Me Hand,WONDER Tourism,4:19,DAISHI DANCE/Cécile Corbel
2602713532,很远的地方 (粤语版),很远的地方,5:5,张学友
3956911,Duvet,Twilight,3:23,Bôa
2601893513,一声老师一生老师,一声老师一生老师,3:21,毛不易
2154864558,Family,Family,3:21,Timirage/S70S/Xun Jia.E4S/umi.E4S
1397248051,Just Friends,Between Us,3:58,Hayden James/Boy Matthews
2601985846,星期天 (Tokyo Remix),绯闻 (Tokyo Remix),2:55,沈以诚
139764,不得不爱,高手,4:41,潘玮柏/弦子
2166616256,The Man She Needs,The Man She Needs,3:21,Anson Seabra
2097530130,Turn The Page,Turn The Page,2:37,Sam Lin
1840502945,The Way You Felt,The Way You Felt,3:2,Alec Benjamin
2082621054,frozen heart.,frozen heart.,3:9,8bite/Dyrox
2164277981,你在，不在 (live │ 典藏),歌手2024 第5期,4:17,汪苏泷
189688,寂寞沙洲冷,星空下的传说,4:37,周传雄
1909082622,芳草地,DIGI GHETTO,4:22,艾志恒Asen/KIV/mac ova seas/thomeboydontkill/MULA SAKEE/付思遥/DIGI GHETTO
2162912603,仗着,仗着,2:57,俞天时/陈壹千
2599500825,克莱尔,转子心,6:6,花墙FancyWall
400161922,我知道你很难过,J女神 影音典藏精选,4:27,蔡依林
2163982666,代替,代替,4:41,闭文思
2155423469,若我不曾见过太阳,崩坏星穹铁道-空气蛹 INSIDE,2:25,知更鸟/HOYO-MiX/Chevy
233921,你在 不在,爱异想,4:23,郭采洁
2103417418,紧急联络人,紧急联络人,3:42,Gareth.T
2602368430,在我的身边,在我的身边,2:47,赵太阳/TCG尹妹/崔十八/七月/野洵/游戈/北夜/张秋水/翔屿/六月/饶子/萨满（Saman）/季然/麦麦/桥鹊/Vv/堆堆/粉丝群星/听潮阁
2601957507,Yandem（返悔）,Yandem(返悔),3:30,艾公子TNA
2061978961,离别开出花,离别开出花,3:50,就是南方凯
1398283847,我只能离开,初恋那件小事 电视剧原声带,3:50,颜人中
2133567415,Fast Cars & Superstars (Radio),Fast Cars & Superstars,1:58,Cristian Marchi/Reverend Haus
2160320348,你不是枯枝败叶,你不是枯枝败叶,2:44,LBI利比
1815725297,Dehors,Dehors,3:15,JORDANN
2602954339,In Your Corner,LOOM,3:59,Imagine Dragons
1876502011,LOST,LOST,2:18,ET
2153152701,song4love.,song4love/me,3:28,8bite
31421443,心做し,Contrast,4:33,majiko
2120854665,Red Moon,Red Moon,2:48,Chill5
2600159030,Gasoline,Gasoline,3:19,1999 WRITE THE FUTURE/LØREN/88rising
2151187189,树长高人长大,树长高人长大,3:9,GooGoo/LZ轮子
2602260477,双人跳海,双人跳海,3:47,白日密语
2056875042,【考试】“我这种精神状态阁下如何应对？”,我这种精神状态阁下如何应对,1:42,司墨尧smile
2150577831,泪桥,泪桥（陶喆AI）,3:48,Dawn9
2018404336,Улетали Птицами Гордыми,Улетали Птицами Гордыми,3:3,Sicke
2161570791,你的目光,你的目光,2:50,张叶蕾
2602024546,屡爱屡败,屡爱屡败,3:37,六月/听潮阁
2601605147,记忆U盘,记忆U盘,2:52,Lonn.E
2600856374,世界主角,世界主角,3:2,李小眼
1388412185,下一次爱情来的时候,超级女声 3,4:18,蔡健雅
469998923,别问很可怕,You'll Never Know / 别问很可怕,4:7,J. Sheon
2096555798,Right Back,D.N.A,2:53,D.N.A/张艺兴
2602760675,HOT UPTOWN,"C,XOXO",2:30,Camila Cabello/Drake
2601202804,Heaven,Heaven,3:7,Tobu
1868810493,Anyone(80's Version),Anyone(80's Version),4:0,Crystal Bats/TRONICBOX
26127546,错的人,Super Girl 爱 无畏 新歌＋精选,5:12,萧亚轩
25648006,麦恩莉,回到未来,4:48,方大同
2601601419,Alone,Alone,3:35,蒋一帆/不知名选手Au
1351578882,One Thing,One Thing,2:37,Mr. Belt & Wezol/Jack Wins
2120974013,不得不爱,Y2K.com,4:41,潘玮柏/弦子
26390073,La La La,La La La,3:40,Naughty Boy/Sam Smith
2601644556,那未曾想过的与你相逢的夏天,那未曾想过的与你相逢的夏天,4:10,袁娅维TIA RAY
2599542235,网恋,网恋,3:12,Six Teen/果妹
1891483043,WhereMemoryHadStopped,神仙片段合集|治愈系,3:15,wq
150633,天天,I'm O.K.,4:15,陶喆
2600319025,Love U 2,Love U 2,2:19,派派
2601905941,Beautiful Things,Beautiful Things,3:0,MADILYN
1960619633,Coco Elva Tia,Humble Swag GT Mixtape,3:26,马思唯/JZlee
1442021826,Take me Hand Acoustic,Take Me Hand Acoustic,3:34,Cécile Corbel
2161997225,Down For Life(PHONK),Down For Life,2:43,GTR7
2098571152,泪桥,泪桥,3:46,火鸡
2602953845,Kid,LOOM,2:39,Imagine Dragons
593540,やられちゃった女の子,さよならセシル(リマスター・バージョン),2:48,小島麻由美
