名称,代码,总市值
中国移动,600941,2303467941270.0
工商银行,601398,2031515665407.0
中国石油,601857,1888776491082.0
建设银行,601939,1850081233396.0
贵州茅台,600519,1843332089742.0
中国海油,600938,1569703211472.0
农业银行,601288,1525926027686.0
中国银行,601988,1360071595533.0
中国神华,601088,881566230403.0
中国人寿,601628,877619090250.0
招商银行,600036,862266521098.0
宁德时代,300750,791917264177.0
中国石化,600028,769394840124.0
中国平安,601318,753175303346.0
比亚迪,002594,728043780214.0
长江电力,600900,707620856347.0
中国电信,601728,562768902999.0
交通银行,601328,554742568038.0
工业富联,601138,544274346732.0
邮储银行,601658,502746655513.0
五 粮 液,000858,497001088960.0
紫金矿业,601899,466973508676.0
美的集团,000333,450217467681.0
中芯国际,688981,366780115869.0
兴业银行,601166,366043130654.0
中信银行,601998,358158814148.0
迈瑞医疗,300760,352711325929.0
海康威视,002415,288408874777.0
立讯精密,002475,282248343986.0
中信证券,600030,270178568693.0
中国太保,601601,268022712936.0
海尔智家,600690,267853700663.0
XD京沪高,601816,263701822361.0
山西汾酒,600809,257266055135.0
万华化学,600309,253879912178.0
XD陕西煤,601225,249840150000.0
中远海控,601919,247228816476.0
恒瑞医药,600276,245336427458.0
浦发银行,600000,241568418554.0
牧原股份,002714,238289371572.0
中国广核,003816,233808569393.0
中国人保,601319,227753551502.0
中国建筑,601668,221001947478.0
格力电器,000651,220863733162.0
长城汽车,601633,216110903433.0
中国中车,601766,215528469301.0
泸州老窖,000568,211215524974.0
中国核电,601985,201295816682.0
国电南瑞,600406,200499288987.0
平安银行,000001,196970069710.0
华能水电,600025,194040000000.0
海天味业,603288,191673900752.0
光大银行,601818,187301196863.0
洛阳钼业,603993,183593544956.0
中国船舶,600150,182072574738.0
兖矿能源,600188,175543097644.0
顺丰控股,002352,171879871442.0
北方华创,002371,169867880317.0
东方财富,300059,166695328536.0
民生银行,600016,165935366123.0
中煤能源,601898,165468119232.0
伊利股份,600887,164499990537.0
海光信息,688041,163447454559.0
中国中铁,601390,161374106407.0
上汽集团,600104,160433650308.0
百济神州-U,688235,159256418683.0
中际旭创,300308,154586438261.0
京东方Ａ,000725,153988423991.0
华能国际,600011,151015658114.0
中国联通,600050,149462732166.0
中信建投,601066,149238807894.0
金龙鱼,300999,148280528510.0
宝钢股份,600019,147097055594.0
宁波银行,002142,145675212872.0
中国交建,601800,145530786140.0
龙源电力,001289,144206828829.0
中金公司,601995,142935075861.0
潍柴动力,000338,141719282773.0
三一重工,600031,140014713911.0
赛力斯,601127,137571353426.0
汇川技术,300124,137388688755.0
江苏银行,600919,136350340760.0
国投电力,600886,135964239497.0
上港集团,600018,134582356655.0
中兴通讯,000063,133787545909.0
长安汽车,000625,133189191713.0
温氏股份,300498,131860797419.0
中国铝业,601600,130918448770.0
中国中免,601888,129283001660.0
阳光电源,300274,128601304631.0
宝丰能源,600989,127087128800.0
大秦铁路,601006,125774105386.0
